#! elementShape tetrahedron 
#! elementNumPoints 4 
34 78  
0.0 -5 -10.0 
20.0 -5 -10.0 
20.0 5 -10.0 
0.0 5 -10.0 
0.0 -5 10.0 
20.0 -5 10.0 
20.0 5 10.0 
0.0 5 10.0 
9.9999999999848 -5 -10.0 
10.0 5 -10.0 
0.0 -5 -1.23172583244013e-11 
20.0 -5 -1.23172583244013e-11 
20.0 5 -1.23172583244013e-11 
0.0 5 -1.23172583244013e-11 
9.9999999999848 -5 10.0 
10.0 5 10.0 
14.9999999999924 -7.60227436556969E-12 -10.0 
4.9999999999924 0 -10.0 
10.0 -5 -1.1368683772175602e-15 
4.9999999999924 -5 4.99999999999384 
4.9999999999924 -5 -5.00000000000616 
14.9999999999962 -5 -5.00000000000308 
14.9999999999924 -5 5.0000000000076 
20.0 0 4.99999999999384 
20.0 0 -5.00000000000616 
10.0 5 -5.747821735502349e-12 
5.0 5 -5.00000000000616 
15.0 5 -5.00000000000616 
5.0 5 4.99999999999549 
15.0 5 4.99999999999549 
0.0 0 4.99999999999384 
0.0 0 -5.00000000000616 
14.9999999999924 -7.60227436556969E-12 10.0 
4.9999999999924 0 10.0 
21 24 27 18
28 31 20 19
31 25 20 26
24 25 27 18
18 21 24 11
31 25 28 20
13 19 31 28
25 13 31 28
13 25 31 26
12 24 25 27
27 16 21 18
25 22 23 29
13 19 28 30
25 23 12 29
10 20 31 19
19 20 28 25
20 25 16 26
24 25 18 11
26 20 17 16
29 22 32 25
10 13 19 31
18 25 23 11
25 15 32 29
28 32 22 25
25 19 22 28
11 12 24 25
17 9 26 16
13 10 19 30
25 9 16 26
11 12 25 23
32 14 28 22
19 22 28 14
21 16 8 18
33 28 15 32
15 25 32 28
14 28 19 33
33 14 28 32
16 27 25 18
9 25 16 27
22 25 23 18
18 23 22 11
19 25 22 18
19 20 25 18
25 20 16 18
20 8 17 16
20 8 16 18
16 24 27 21
29 6 23 12
13 28 7 30
20 17 31 26
23 22 32 29
28 30 19 33
13 31 3 26
24 27 12 2
11 21 24 1
8 16 21 1
30 4 10 19
22 23 5 11
31 17 0 3
3 17 9 26
2 27 9 16
16 2 24 1
15 7 28 33
32 15 6 29
30 7 4 33
5 23 32 6
0 10 20 31
24 27 2 16
6 23 32 29
31 17 3 26
30 28 7 33
21 16 24 1
22 32 14 5
0 20 8 17
14 19 4 33
32 22 23 5
19 30 4 33
17 0 20 31
